GEOID,total_hhsE,no_vehE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,total_emp,basic_emp,retail_emp,service_emp
49035110702,1693,36,315,583,285,510,287,336,1070,1460,579,63,818
49035113505,1950,79,314,560,425,651,450,540,960,761,35,252,474
49035113107,8101,64,900,1716,1250,4235,628,1242,6231,4308,837,616,2855
49045130702,4831,91,400,1018,1060,2353,258,612,3961,3259,1226,213,1820
49035113803,2200,0,202,485,275,1238,292,357,1551,1488,135,257,1096
49035111802,1230,149,529,402,152,147,448,254,528,2366,150,745,1471
49035110600,1867,34,283,744,225,615,243,207,1417,661,66,15,580
49035112816,1681,69,243,420,209,809,84,243,1354,5057,1440,494,3123
49035112617,1058,16,100,342,192,424,106,81,871,949,68,32,849
49035112605,3068,189,805,1176,555,532,497,752,1819,17568,4910,1182,11476
49035113012,1646,48,213,554,221,658,204,128,1314,9162,1796,455,6911
49035100700,1647,165,814,534,145,154,503,288,856,1488,60,42,1386
49035100100,774,131,221,365,87,101,272,137,365,6135,1708,314,4113
49035112904,1968,92,328,482,338,820,347,424,1197,443,59,56,328
49035102701,1735,68,349,444,328,614,566,657,512,137,21,8,108
49035112921,1209,14,214,333,247,415,158,249,802,2171,487,761,923
49035112613,1564,30,203,548,210,603,137,199,1228,1971,334,425,1212
49035114100,1326,48,534,454,95,243,236,291,799,5093,641,1085,3367
49035112001,1513,67,539,517,273,184,420,472,621,1766,163,382,1221
49035112002,2033,216,631,835,325,242,545,487,1001,3059,282,327,2450
49035110500,2157,15,483,685,373,616,322,287,1548,1034,116,76,842
49035112810,3156,39,132,849,644,1531,174,243,2739,3768,2075,147,1546
49035114600,2052,22,249,669,340,794,124,280,1648,1414,573,157,684
49035112616,1434,97,226,490,155,563,124,195,1115,798,55,44,699
49035111304,1277,8,279,517,129,352,119,250,908,683,161,199,323
49035110701,1438,29,319,362,417,340,317,330,791,697,70,20,607
49035112917,1248,32,146,439,224,439,184,292,772,1549,102,157,1290
49035101700,1991,261,931,771,189,100,662,521,808,1257,67,91,1099
49035112814,1435,94,117,572,231,515,222,84,1129,477,110,11,356
49035113102,1040,0,35,297,289,419,98,81,861,2306,236,242,1828
49035104400,671,25,140,283,69,179,64,80,527,332,24,45,263
49035102100,1213,283,839,298,46,30,486,308,419,4535,349,65,4121
49035112502,2534,57,1015,700,383,436,463,694,1377,8621,991,1714,5916
49035103000,1197,69,275,404,258,260,290,215,692,1008,15,345,648
49035111202,1709,117,565,560,197,387,313,427,969,3198,226,923,2049
49035110103,1421,21,246,567,292,316,148,157,1116,303,16,28,259
49035102802,1336,114,170,240,223,703,325,282,729,6766,2561,942,3263
49035112813,1621,19,156,625,272,568,168,185,1268,583,144,35,404
49035112804,1752,38,138,662,361,591,192,170,1390,1006,142,71,793
49035112905,1683,19,208,572,318,585,277,241,1165,205,82,4,119
49035102801,1820,63,284,548,209,779,451,575,794,2078,1495,73,510
49045130701,1132,6,143,303,164,522,114,196,822,1301,434,314,553
49035112812,1864,109,316,588,363,597,321,418,1125,1081,77,326,678
49035110300,2324,28,514,978,367,465,303,493,1528,1009,135,322,552
49035114200,1700,15,257,649,269,525,307,289,1104,1884,296,142,1446
49035113411,758,19,79,167,154,358,107,78,573,459,18,157,284
49035102000,1453,221,737,507,118,91,607,403,443,2653,189,851,1613
49035113514,2547,273,847,702,375,623,959,833,755,580,58,26,496
49035113011,1879,94,320,634,329,596,280,187,1412,3563,447,437,2679
49035101000,1408,105,563,437,234,174,255,205,948,667,194,1,472
49035104900,1316,78,514,387,144,271,289,342,685,450,48,137,265
49035112821,1888,72,185,563,243,897,225,192,1471,544,125,20,399
49035112805,1503,18,205,398,283,617,46,282,1175,2400,572,390,1438
49035104700,2145,91,619,757,318,451,362,336,1447,667,90,41,536
49035112403,3100,187,975,978,671,476,805,781,1514,9377,3275,1703,4399
49035103900,1505,31,290,541,296,378,248,208,1049,436,23,111,302
49035113305,2759,115,527,909,486,837,1059,738,962,16823,4959,592,11272
49035112916,1503,18,264,307,362,570,238,375,890,809,376,62,371
49035113412,720,6,23,166,181,350,63,149,508,597,47,139,411
49035112609,1726,51,262,581,337,546,180,235,1311,794,115,218,461
49035111302,2222,9,317,850,474,581,216,143,1863,709,137,69,503
49035110200,1848,19,317,814,286,431,238,171,1439,1893,159,589,1145
49035112612,1883,168,416,751,177,539,366,322,1195,1989,136,643,1210
49035111903,1834,85,611,641,278,304,431,426,977,7757,193,227,7337
49035111101,2622,48,935,846,381,460,571,458,1593,2843,283,42,2518
49035111103,2549,147,1030,917,312,290,595,504,1450,1947,195,57,1695
49035112608,1613,0,126,560,292,635,247,147,1219,1191,140,54,997
49035112818,0,0,0,0,0,0,0,0,0,1767,268,13,1486
49035112615,732,5,49,274,139,270,23,58,651,548,131,64,353
49035112302,1378,38,372,435,228,343,202,366,810,7937,270,2699,4968
49035112618,1267,47,376,360,220,311,184,262,821,773,92,8,673
49035100308,1308,149,211,272,322,503,590,352,366,638,62,299,277
49035112815,1553,0,97,540,239,677,50,160,1343,622,114,92,416
49035111904,1735,392,890,562,123,160,500,552,683,1466,33,357,1076
49035111102,2643,45,850,1098,240,455,574,580,1489,1217,116,80,1021
49035102500,2290,624,1379,680,177,54,973,412,905,13791,3851,612,9328
49035112404,1710,174,664,560,192,294,598,387,725,3668,1237,439,1992
49035102600,1348,89,318,308,394,328,624,265,459,4560,3324,175,1061
49045980000,0,0,0,0,0,0,0,0,0,26,0,0,26
49035113007,1356,22,104,445,230,577,41,108,1207,355,141,4,210
49035112201,1750,28,426,543,299,482,265,459,1026,2794,89,307,2398
49045131100,2729,136,442,818,549,920,319,739,1671,1311,266,6,1039
49035112912,736,0,64,220,155,297,88,138,510,2776,72,1325,1379
49035100200,543,50,101,233,134,75,58,31,454,903,778,30,95
49035112817,3182,67,565,1226,529,862,315,399,2468,33591,10254,8735,14602
49035112301,1452,59,399,513,158,382,425,343,684,3775,102,266,3407
49035103400,1832,50,553,706,261,312,318,372,1142,753,111,113,529
49035101500,1433,120,685,417,232,99,679,279,475,1676,15,274,1387
49035113510,1050,20,266,326,108,350,181,218,651,2741,50,109,2582
49035113105,1620,20,179,409,221,811,153,146,1321,1595,1335,5,255
49035114800,1232,18,147,553,224,308,63,46,1123,505,45,0,460
49035110402,1317,33,293,439,115,470,165,233,919,870,42,46,782
49035113600,1558,84,186,450,270,652,382,536,640,667,72,63,532
49035114300,6394,66,1174,1688,1066,2466,923,1185,4286,4544,734,727,3083
49035115209,3096,97,350,649,728,1369,416,578,2102,7964,5492,249,2223
49035104200,2678,82,720,1030,417,511,186,361,2131,1403,100,124,1179
