GEOID,car_access,transit_access,ratio
49035110300,688540,43980,0.06387428471838964
49035114200,685365,16913,0.024677361697781473
49035113411,698334,21888,0.031343168168813204
49035102000,694740,149361,0.21498834096208655
49035113514,698892,37042,0.053001035925436264
49035113011,661736,9383,0.014179370625143562
49035101000,662852,72137,0.10882821504649605
49035104900,701192,118493,0.16898795194468846
49035112821,611934,624,0.0010197178127052918
49035112805,668847,13043,0.019500722885801985
49035104700,698364,62866,0.09001895859465837
49035112403,693500,101819,0.14681903388608508
49035103900,686679,74598,0.108635912850109
49035113305,704984,196142,0.2782219170931539
49035112916,679573,19116,0.02812942833220272
49035113412,699415,4144,0.0059249515666664285
49035112609,669753,7242,0.010812941487384155
49035111302,655892,2203,0.0033587846779652747
49035110200,687295,21094,0.03069133341578216
49035112612,688933,37925,0.05504889444982313
49035111903,690258,46502,0.06736901274595876
49035111101,693022,65955,0.09517013889890942
49035111103,695087,43276,0.06225983222244122
49035112608,681792,10707,0.01570420304139679
49035112818,640028,1767,0.0027608167142687506
49035112615,674455,7119,0.01055518900445545
49035112302,698738,68810,0.09847754093809125
49035112618,693416,17914,0.0258344197422615
49035100308,698365,40662,0.058224567382386
49035112815,103056,622,0.00603555348548362
49035111904,692764,96743,0.13964784544231512
49035111102,690333,45967,0.06658670525673842
49035102500,700509,142388,0.20326362687702798
49035112404,697840,141658,0.20299495586380834
49035102600,704735,112760,0.16000340553541403
49045980000,37,26,0.7027027027027027
49035113007,649651,4582,0.0070530176971943396
49035112201,697241,19069,0.02734922358266367
49045131100,49554,2065,0.041671711668079266
49035112912,691035,29081,0.04208325193369366
49035100200,0,903,Inf
49035112817,664195,34364,0.05173781796008702
49035112301,696764,41098,0.05898410365633127
49035103400,694794,135029,0.19434393503685984
49035101500,676562,144847,0.2140927217313417
49035113510,700865,129762,0.18514549877651187
49035113105,11881,1593,0.13407962292736303
49035114800,0,505,Inf
49035110402,685882,46170,0.06731478592527577
49035113600,697117,27372,0.03926457108347666
49035114300,660983,11790,0.01783706993977152
49035115209,611002,8344,0.013656256444332424
49035104200,660386,3270,0.004951649489843819
