fromId,toId,walk_time,car_time
49035113310,49035113513,83,8
49035113310,49035113509,65,7
49035113310,49035113306,21,2
49035113310,49035113532,90,7
49035113310,49035113537,47,5
49035113310,49035113523,107,8
49035113310,49035113522,62,5
49035113310,49035113307,56,6
49035113310,49035113539,115,10
49035113310,49035113515,104,9
49035113310,49035112100,118,10
49035113310,49035113410,77,6
49035113310,49035111600,103,9
49035113310,49035113511,64,7
49035113310,49035113802,117,10
49035113310,49035113505,83,7
49035113310,49035112905,112,7
49035113310,49035113411,64,6
49035113310,49035113514,89,10
49035113310,49035113305,61,6
49035113310,49035113412,117,10
49035113310,49035113510,47,6
49035113310,49035113600,104,9
49035111801,49035111801,0,0
49035111801,49035103300,76,8
49035111801,49035111702,33,4
49035111801,49035111500,99,9
49035111801,49035111906,52,6
49035111801,49035103600,118,11
49035111801,49035103800,87,9
49035111801,49035103100,106,10
49035111801,49035103200,91,9
49035111801,49035110900,115,12
49035111801,49035103700,102,10
49035111801,49035111400,69,7
49035111801,49035111701,40,5
49035111801,49035111905,49,6
49035111801,49035110800,79,8
49035111801,49035110401,34,6
49035111801,49035112100,119,10
49035111801,49035103500,109,10
49035111801,49035104800,47,6
49035111801,49035111600,86,9
49035111801,49035110702,61,7
49035111801,49035111802,27,3
49035111801,49035110600,94,9
49035111801,49035114100,76,10
49035111801,49035112001,76,8
49035111801,49035112002,95,9
49035111801,49035110500,94,9
49035111801,49035110701,43,5
49035111801,49035104400,107,11
49035111801,49035110300,59,6
49035111801,49035104900,57,6
49035111801,49035104700,63,7
49035111801,49035103900,107,11
49035111801,49035110200,96,9
49035111801,49035111903,39,5
49035111801,49035111101,97,8
49035111801,49035111904,52,7
49035111801,49035111102,87,9
49035111801,49035112301,111,10
49035111801,49035103400,91,9
49035111801,49035110402,55,6
49035113538,49035113521,70,8
49035113538,49035113520,95,8
49035113538,49035113310,107,9
49035113538,49035113538,0,0
49035113538,49035113702,71,10
49035113538,49035113801,67,8
49035113538,49035113413,35,3
49035113538,49035113309,93,8
49035113538,49035113527,106,12
49035113538,49035113406,79,10
49035113538,49035113536,61,7
49035113538,49035113308,117,10
49035113538,49035113528,117,13
49035113538,49035113532,110,11
49035113538,49035113408,70,8
49035113538,49035113537,76,7
49035113538,49035113409,46,5
49035113538,49035113905,100,12
49035113538,49035113701,85,11
49035113538,49035113523,97,10
49035113538,49035113904,120,12
49035113538,49035113407,99,9
49035113538,49035113526,100,15
49035113538,49035113522,95,10
49035113538,49035113539,33,6
49035113538,49035113410,53,5
49035113538,49035113802,39,6
49035113538,49035113505,32,5
49035113538,49035113803,89,12
49035113538,49035113411,71,8
49035113538,49035113412,71,7
49035113538,49035113510,114,11
49035113538,49035113600,54,7
49035113017,49035113017,0,0
