GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp,hbo_prod,hbw_prod,nhb_prod,hbo_attr,hbw_attr,nhb_attr,hbo_attr_bal,hbw_attr_bal,nhb_attr_bal
49035113010,2438,336,3.01,512,979,286,661,436,512,298,559,633,120,32,109,46,26,103,39,109,14,130,220,298,313,246,485,148,4284,2757,200,1327,12860.534830765024,2711.924064042749,6768.101268746932,9961,5140.8,5639.1,7957.8369927664435,2542.6419888477817,4577.293045464003
49035113309,1410,146,3.54,281,301,202,626,344,507,199,270,90,56,127,30,57,63,11,23,103,37,164,180,199,209,61,50,40,663,32,142,489,8192.143455977479,1637.4635415305897,3800.135376472315,3913.7,795.6,2214,3126.6526090342363,393.5041173216805,1797.1177674907879
49035113527,1297,4,3.75,168,316,277,536,155,405,254,383,100,10,30,18,8,31,58,78,58,28,62,179,254,223,160,57,43,119,43,0,76,7860.19424044801,1609.345181006621,3736.5334550072457,1204,142.79999999999998,906.0999999999999,961.8748859844189,70.62894413466059,735.4870863249336
49035111500,848,112,2.2,406,194,121,127,392,318,95,40,3,57,49,47,94,64,81,54,34,39,84,107,95,15,25,3,0,14527,7435,2240,4852,3481.8959180770194,614.1439124778536,1653.788051613676,41596.1,17432.399999999998,21547.1,33231.09962200705,8622.072869279113,17489.917004471885
49035113406,1824,88,3.69,349,389,285,801,690,713,241,115,65,80,75,133,129,117,156,202,127,79,168,137,241,35,80,65,0,1029,34,106,889,10656.403207090401,1983.414444787942,4888.008611306727,5302.5,1234.8,2854.2,4236.164105425566,610.7326345761828,2316.77214632891
49035113512,1754,136,2.12,658,598,346,152,614,775,198,119,48,134,80,72,49,184,95,115,167,116,153,224,198,93,26,48,0,4207,659,471,3077,7643.567309526281,1463.5126813961233,3911.639716553417,16415,5048.4,7903.4,13113.933765310829,2496.9409073488837,6415.239640283059
49035113101,1967,28,3.66,160,434,550,823,301,588,343,471,264,17,82,71,0,83,48,63,74,115,89,247,343,273,198,198,66,2638,1808,109,721,12449.604154360955,2483.6216815365997,6119.620221543256,6081.6,3165.6,3605.9,4858.586633391065,1565.7071817414678,2926.9317785885423
49045131002,2919,121,3.1,684,654,398,1183,978,1054,441,334,112,76,174,42,76,279,331,137,146,86,193,492,441,186,148,101,11,1524,365,428,731,16292.441691866563,3090.835119282708,7517.927715496056,8452.5,1828.8,4968.9,6752.697237361545,904.5253013548131,4033.2874773644876
49035100307,1321,21,4.01,91,272,248,710,321,394,263,160,183,53,28,28,50,99,63,28,52,61,95,158,263,78,82,113,70,4323,3921,8,394,8656.703435037985,1652.7168514441976,4225.20786126626,5115.5999999999995,5187.5999999999995,3342.2999999999997,4086.849806264031,2565.7892898667037,2712.9659956117703
49035113533,1500,69,3.05,283,448,314,455,132,391,357,369,251,19,50,12,30,10,11,70,61,0,128,132,357,189,180,158,93,878,193,1,684,8349.506734498946,1705.7285133953367,4454.256555505411,3587.5,1053.6,1958.8,2866.051622482644,521.1110331952269,1589.9703175072063
49035111906,1746,145,2.58,516,645,259,326,488,839,293,65,61,100,66,63,65,89,105,187,87,62,274,229,293,63,2,47,14,818,215,139,464,8406.02932676342,1646.2494997224146,4427.298538113449,4164.3,981.5999999999999,2458,3326.8568004193658,485.4998008584232,1995.1741068167826
49035103600,968,0,2.88,205,280,173,310,59,191,100,232,386,23,0,11,16,9,0,0,36,34,59,62,100,121,111,110,276,156,26,0,130,5314.976423775936,1166.7196569351938,3103.394713390846,1150.8,187.2,775.8,919.3734375339446,92.58920407568952,629.7217542996175
