fromId,toId,n_transit_HBO,n_SOV_HBO,n_HOV_HBO,n_walk_HBO,n_bike_HBO,n_transit_HBW,n_SOV_HBW,n_HOV_HBW,n_walk_HBW,n_bike_HBW,n_transit_NHB,n_SOV_NHB,n_HOV_NHB,n_walk_NHB,n_bike_NHB,routes
49035112822,49035104300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2022
49035112822,49035112614,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,5907|20201|45418
49035112822,49035112100,3,19,49,0,0,4,33,6,0,0,1,18,29,0,0,5907|51572
49035112822,49035112619,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,5907|20201|45418
49035112822,49035103500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|45409
49035112822,49035113410,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5907|2332
49035112822,49035104800,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|32878
49035112822,49035112611,1,6,15,0,0,0,6,1,0,0,0,6,10,0,0,5907|32878
49035112822,49035111600,2,14,37,0,0,2,37,7,0,0,0,15,24,0,0,5907|2332
49035112822,49035113511,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,5907|51572
49035112822,49035113802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2053
49035112822,49035110702,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|51295
49035112822,49035113505,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|51572
49035112822,49035113803,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5907|2053
49035112822,49035111802,0,1,1,0,0,0,4,1,0,0,0,1,1,0,0,5907|27613
49035112822,49035110600,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|2343
49035112822,49035112617,0,1,3,0,0,0,3,1,0,0,0,1,2,0,0,5907|20201
49035112822,49035112605,36,299,760,15,0,3,61,11,1,0,6,167,276,39,0,5907
49035112822,49035100700,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|19936
49035112822,49035100100,0,4,9,0,0,0,11,2,0,0,0,3,6,0,0,5907|19936
49035112822,49035112904,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|2061
49035112822,49035102701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5907|45409
49035112822,49035112921,0,2,5,0,0,1,5,1,0,0,0,3,6,0,0,5907|45424
49035112822,49035112613,1,16,40,1,0,0,7,1,0,0,0,14,23,2,0,5907|20201
49035112822,49035114100,0,2,6,0,0,0,9,2,0,0,0,3,4,0,0,5907|2022
49035112822,49035112001,0,2,5,0,0,0,3,1,0,0,0,2,3,0,0,5907|2343
49035112822,49035112002,0,3,8,0,0,0,7,1,0,0,0,3,6,0,0,5907|27610
49035112822,49035110500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|51295
49035112822,49035112616,0,1,1,0,0,0,2,0,0,0,0,1,2,0,0,5907|20201
49035112822,49035110701,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|32878
49035112822,49035112917,0,1,1,0,0,0,3,1,0,0,0,1,2,0,0,5907|8246
49035112822,49035101700,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5907|45418
49035112822,49035113102,0,1,1,0,0,0,5,1,0,0,0,1,2,0,0,5907|45424|34504
49035112822,49035104400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|2022
49035112822,49035102100,0,1,1,0,0,1,7,1,0,0,0,1,1,0,0,5907|45418
49035112822,49035112502,2,15,39,0,0,2,21,4,0,0,1,15,25,0,0,5907|32878
49035112822,49035103000,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907
49035112822,49035111202,0,4,9,0,0,0,7,1,0,0,0,4,7,0,0,5907|2069
49035112822,49035102802,0,3,8,0,0,1,12,2,0,0,0,3,6,0,0,5907|45409|25310
49035112822,49035112905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|2061
49035112822,49035102801,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,5907|45409
49035112822,49035110300,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|2328
49035112822,49035114200,0,3,8,0,0,0,5,1,0,0,0,4,6,0,0,5907|34522
49035112822,49035113411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|39020|34504
49035112822,49035102000,0,1,2,0,0,0,4,1,0,0,0,1,2,0,0,5907|8246
49035112822,49035113514,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,5907|51572
49035112822,49035113011,1,24,62,0,0,0,12,2,0,0,0,21,34,1,0,45422
49035112822,49035101000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|38724
49035112822,49035104900,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5907|2022|27614
49035112822,49035112805,12,82,207,6,0,1,9,2,0,0,3,55,91,20,0,5907
49035112822,49035104700,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5907|32878
49035112822,49035112403,2,15,39,0,0,4,20,4,0,0,1,17,29,0,0,5907|87445
49035112822,49035103900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2022
49035112822,49035113305,1,5,12,0,0,5,26,5,0,0,0,6,10,0,0,5907|39020
49035112822,49035112916,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|45424|87442
49035112822,49035113412,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|39020|34505
49035112822,49035112609,0,1,3,0,0,0,2,0,0,0,0,2,3,0,0,5907|20201
49035112822,49035110200,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5907|2328
49035112822,49035112612,2,19,47,1,0,0,7,1,0,0,0,17,27,2,0,5907|20201
49035112822,49035111903,0,4,11,0,0,1,15,3,0,0,0,4,7,0,0,5907|2343
49035112822,49035111101,0,2,4,0,0,0,6,1,0,0,0,2,3,0,0,5907|32878
49035112822,49035111103,0,1,3,0,0,0,4,1,0,0,0,1,2,0,0,5907|32878
49035112822,49035112608,0,6,15,0,0,0,3,1,0,0,0,5,8,0,0,5907|20201
49035112822,49035112615,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|20201|45418
49035112822,49035112302,1,11,29,0,0,1,17,3,0,0,0,12,19,0,0,5907|27613
49035112822,49035112618,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|32878
49035112822,49035100308,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|39020|45407
49035112822,49035111904,0,1,3,0,0,0,2,0,0,0,0,1,2,0,0,5907|2343
49035112822,49035111102,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|32878
49035112822,49035102500,1,6,14,0,0,2,23,4,0,0,0,6,10,0,0,5907
49035112822,49035112404,1,6,16,0,0,1,8,2,0,0,0,7,11,0,0,5907
49035112822,49035102600,0,1,1,0,0,0,8,2,0,0,0,1,2,0,0,5907
49035112822,49035113007,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|8246
49035112822,49035112201,0,4,9,0,0,0,7,1,0,0,0,4,6,0,0,5907|2061
49035112822,49035112912,0,1,1,0,0,0,5,1,0,0,0,1,2,0,0,5907|34522
