GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49035113528,1457,0,3.63,54,420,232,751,146,475,407,309,120,11,20,9,22,84,0,21,7,42,99,306,407,245,64,80,40,68,53,0,15
49035113532,1015,5,3.15,147,343,169,356,150,271,214,279,101,27,8,49,9,31,26,26,0,63,77,105,214,192,87,91,10,473,41,15,417
49035113014,1455,8,3.28,236,408,234,577,143,415,328,348,221,25,58,8,0,25,27,42,38,21,87,227,328,212,136,157,64,1109,213,242,654
49035113408,1679,48,3.87,132,509,286,752,202,678,377,303,119,31,18,0,45,94,14,135,30,56,204,253,377,238,65,91,28,222,86,21,115
49035113008,1771,8,3.7,110,538,337,786,85,298,179,580,629,0,12,7,46,10,10,54,8,20,15,201,179,274,306,317,312,757,176,14,567
49035102702,1114,97,3.5,115,347,170,482,489,447,109,57,12,171,23,65,67,46,117,58,68,44,97,180,109,57,0,12,0,1426,960,21,445
49035101200,2124,70,1.94,885,825,238,176,616,592,180,261,475,55,142,88,96,128,107,65,51,54,204,218,180,132,129,119,356,737,106,25,606
49035110900,1508,28,2.94,213,581,252,462,152,360,166,190,640,38,10,25,0,61,18,25,28,33,88,186,166,85,105,195,445,773,136,74,563
49035113903,1418,37,3.52,195,392,244,587,246,498,276,341,57,41,0,74,34,64,33,40,93,77,96,192,276,156,185,48,9,449,64,10,375
49035103700,1051,14,2.5,283,291,228,249,128,188,161,156,418,19,29,10,9,39,22,17,47,8,42,74,161,88,68,145,273,428,33,74,321
49035113537,1002,25,3.6,175,288,133,406,167,377,173,188,97,20,18,23,14,61,31,24,63,32,50,208,173,113,75,69,28,142,29,8,105
49035113409,1358,19,3.71,188,269,237,664,226,480,294,194,164,49,29,26,48,7,67,19,49,35,117,260,294,159,35,117,47,907,156,359,392
49035104100,1125,68,2.65,287,395,135,308,206,196,91,186,446,34,27,40,6,99,0,22,37,19,102,16,91,142,44,123,323,267,55,9,203
49035112604,1593,48,3.23,251,508,278,556,292,516,238,395,152,56,8,25,53,107,43,34,27,75,100,280,238,287,108,102,50,2807,126,225,2456
