fromId,toId,transit_time,access_time,wait_time,ride_time,transfer_time,egress_time,combined_time,routes,n_rides,car_time,walk_time,bike_time
49035112822,49035100308,96,18.2,14.200000000000001,59.8,2.6,1.7,96.5,5907|39020|45407,3,22,NA,NA
49035112822,49035111904,75,18.2,16.700000000000003,26.8,1.1,12.3,75.2,5907|2343,2,18,NA,NA
49035112822,49035111102,83,18.2,15.600000000000001,31.5,1.3,16.9,83.3,5907|32878,2,19,NA,113
49035112822,49035102500,79,18.2,10.8,45,0,5.7,79.7,5907,1,20,NA,NA
49035112822,49035112404,49,18.2,10.8,11,0,9.3,49.3,5907,1,10,NA,63
49035112822,49035102600,100,18.2,10.8,47,0,24.3,100.3,5907,1,17,NA,NA
49035112822,49035113007,101,18.2,14.5,40,1.4,27,101.1,5907|8246,2,16,NA,90
49035112822,49035112201,75,18.2,23.3,15.2,0.5,18.8,76,5907|2061,2,13,NA,93
49035112822,49035112912,88,18.2,33.900000000000006,21.7,0.9,14,88.7,5907|34522,2,16,NA,95
49035112822,49035112817,83,40.7,11.3,3.3,0,28.5,83.7,48851,1,8,85,61
49035112822,49035112301,80,18.2,12.4,18.6,2.4,29.3,80.9,5907|27610,2,15,NA,89
49035112822,49035103400,92,18.2,22.9,43.4,0.9,7.1,92.4,5907|27613,2,20,NA,NA
49035112822,49035101500,84,18.2,13.5,46.6,2.6,3.7,84.6,5907|45418,2,24,NA,NA
49035112822,49035113510,73,18.2,16.4,35.5,1.4,2,73.5,5907|51572,2,17,NA,NA
49035112822,49035110402,92,18.2,22.3,35.8,0.5,16,92.8,5907|51295,2,21,NA,NA
49035112822,49035113600,90,18.2,15.600000000000001,36.9,2.2,17.2,90.1,5907|2053,2,21,NA,NA
49035112822,49035114300,96,18.2,33.900000000000006,30.4,0.9,13.2,96.7,5907|34522,2,20,NA,NA
49035112822,49035115209,105,18.2,14.5,42,1.4,29.9,105.9,5907|8246,2,21,NA,NA
49035113521,49035112822,79,14.6,10.8,36.6,1,16.8,79.8,2053|5907,2,16,NA,120
49035113521,49035113520,46,18.7,10.8,2.9,0,13.9,46.3,87442,1,5,52,18
49035113521,49035112402,69,14.6,14.8,32.4,3,4.4,69.1,2053|5907|87444,3,14,NA,91
49035113521,49035113310,47,18.7,10.8,8.5,0,9.5,47.5,87442,1,7,80,27
49035113521,49035111801,83,14.6,7.1,38.8,5.4,17.6,83.5,2053|27610|2328,3,15,NA,116
49035113521,49035113538,55,15.7,6.4,6.5,0,27.1,55.7,51572,1,9,70,32
49035113521,49035112914,47,18.3,11.4,13.4,3.5,1.2,47.7,87442|34521,2,9,113,55
49035113521,49035103300,81,14.6,10,40.3,5.5,11.1,81.5,2053|5907|2022,3,17,NA,116
49035113521,49035114000,72,14.6,7.5,32.9,4,13.9,72.9,2053|5907,2,15,NA,113
49035113521,49035112823,83,14.6,10.8,38.6,1,18.3,83.3,2053|5907,2,19,NA,NA
49035113521,49035113108,65,15.7,15.3,22.5,2.5,9.6,65.5,51572|34505,2,13,NA,94
49035113521,49035100500,93,14.6,21.299999999999997,49.400000000000006,4.5,3.8,93.6,2053|41065|33606,3,16,NA,120
49035113521,49035100600,88,14.6,21.299999999999997,43.900000000000006,4.5,4.2,88.5,2053|41065|33606,3,16,NA,114
49035113521,49035112907,46,18.3,11.4,11.8,3.5,1.7,46.6,87442|34521,2,8,100,43
49035113521,49035104000,94,14.6,10,53.3,5.5,11.3,94.7,2053|5907|2022,3,21,NA,NA
49035113521,49035113801,56,15.7,12.600000000000001,14.7,0.6,12.4,56.2,51572|34520,2,7,81,43
49035113521,49035111702,62,14.6,7.1,34.9,5.4,1,63,2053|27610|2328,3,12,NA,102
49035113521,49035113413,60,18.7,13.700000000000001,12.9,0.6,14.1,60.1,87442|51294,2,9,94,40
49035113521,49035113010,116,14.6,16.9,48.2,7.7,29,116.3,2053|41065|45422,3,16,NA,71
49035113521,49035113309,39,18.7,10.8,5.6,0,4.6,39.6,87442,1,7,67,26
49035113521,49035113527,62,15.7,15.3,14.1,2.5,15.4,63,51572|34505,2,9,100,56
49035113521,49035111500,85,14.6,5.699999999999999,34.4,2.8,28,85.6,2053|27610,2,14,NA,110
49035113521,49035113406,62,15.7,15.200000000000001,16.3,2.5,12.3,62.1,51572|34505,2,9,97,50
49035113521,49035113512,78,14.4,27.3,18.2,0,18.1,78.1,51572,1,11,120,57
49035113521,49035113101,77,28,8.7,27.7,0,13.2,77.6,34504,1,10,NA,65
49035113521,49035100307,95,14.6,8.8,54.4,3.2,14.5,95.5,2053|45407,2,17,NA,NA
49035113521,49035113533,48,14.6,8.6,10.600000000000001,4.4,10.8,48.9,2053|45407,2,6,78,32
49035113521,49035111906,63,14.6,5.699999999999999,27.5,2.8,12.6,63.1,2053|27610,2,12,NA,96
49035113521,49035103600,93,14.6,20.2,44.599999999999994,6.3,7.3,93,2053|5907|45409,3,20,NA,NA
49035113521,49035103800,84,14.6,10,45.8,5.5,8.9,84.8,2053|5907|2022,3,17,NA,NA
49035113521,49035111201,96,14.6,32,40,1.8,8,96.4,2053|5907|2069,3,13,NA,NA
49035113521,49035103100,79,14.6,5.699999999999999,41.599999999999994,2.8,15.1,79.8,2053|27610,2,17,NA,108
49035113521,49035112501,71,14.6,9,28.299999999999997,2.5,17,71.4,2053|44246,2,11,NA,84
49035113521,49035101102,85,14.6,8.7,42.3,9.3,10.4,85.4,2053|5907|19936,3,21,NA,NA
49035113521,49035103200,76,14.6,10,34.199999999999996,5.5,12.1,76.3,2053|5907|2022,3,16,NA,107
49035113521,49035112610,77,14.6,9,33,2.5,18.7,77.8,2053|44246,2,14,NA,102
49035113521,49035101800,90,14.6,14.5,44.9,4,12.4,90.4,2053|8246,2,18,NA,NA
49035113521,49035112503,72,14.6,9,30.7,2.5,15.8,72.6,2053|44246,2,12,NA,93
49035113521,49035113536,52,15.7,6.4,1.9,0,28.6,52.6,51572,1,6,52,34
49035113521,49035113308,55,18.7,10.8,6.9,0,19.5,55.8,87442,1,8,92,40
49035113521,49035112913,44,14.6,14.199999999999998,11.699999999999998,2,1.7,44.1,2053|20161,2,8,97,44
49035113521,49035101900,78,14.6,15.3,42,4.5,1.9,78.3,2053|41065|45418,3,19,NA,NA
49035113521,49035113513,35,14.6,3.8,5,0,12.1,35.5,2053,1,6,58,35
49035113521,49035112202,65,14.6,9,24.5,2.5,14.9,65.5,2053|44246,2,12,NA,78
49035113521,49035113509,71,14.6,17.6,17.6,3.2,18.2,71.2,2053|45407|51295,3,10,NA,52
49035113521,49035102300,81,14.6,5.699999999999999,46.7,2.8,11.6,81.4,2053|27610,2,16,NA,118
49035113521,49035113306,58,14.6,12.4,19,5.6,6.8,58.5,2053|45407|51295,3,8,96,36
49035113521,49035101101,93,14.6,15.3,41.2,4.5,17.4,93,2053|41065|45418,3,21,NA,NA
49035113521,49035112920,77,14.6,14.199999999999998,16.3,2,30.4,77.4,2053|20161,2,13,NA,63
49035113521,49035113528,61,15.7,15.3,16.8,2.5,11.6,61.9,51572|34505,2,9,111,61
49035113521,49035113532,36,14.6,3.8,2.6,0,15.6,36.5,2053,1,5,40,13
49035113521,49035113408,70,15.7,12.6,22.6,4.9,14.2,70.1,51572|34520|2332,3,13,NA,64
49035113521,49035113008,93,18.3,21.5,18.2,0.3,34.8,93.1,87442|45424,2,11,NA,61
49035113521,49035102702,80,14.6,10.7,38.3,5.2,11.8,80.6,2053|45407|45409,3,16,NA,105
49035113521,49035101200,101,14.6,15.3,46.5,4.5,20.5,101.4,2053|41065|45418,3,23,NA,NA
49035113521,49035110900,102,14.6,14.699999999999998,43.2,1.1,28.7,102.4,2053|2343,2,20,NA,NA
49035113521,49035113903,96,15.7,12.6,33.6,4.9,30,96.9,51572|34520|2332,3,16,NA,94
49035113521,49035103700,99,14.6,10,45.8,5.5,23.5,99.3,2053|5907|2022,3,18,NA,NA
49035113521,49035113409,59,15.7,7.5,14.4,0,22.4,60,51572|34520,2,10,114,51
49035113521,49035104100,95,14.6,10,56,5.5,9.8,95.8,2053|5907|2022,3,22,NA,NA
49035113521,49035112604,109,14.6,33.3,37.5,2.4,21.4,109.3,2053|5907|20201,3,18,NA,NA
49035113521,49035113905,85,15.7,12.6,26.2,4.9,25.6,85.1,51572|34520|2332,3,17,NA,78
